Category,Name,Segment,Region,Website,LinkedIn,Reason
1. Music publishers,IMRO,CMO – authors/publishers,Ireland,https://imro.ie,https://www.linkedin.com/company/imro-irish-music-rights-organisation/ (needs verification),Irish music rights organisation; English-speaking EU-adjacent CMO prospect.
1. Music publishers,Kobalt Music,Music publisher / publishing administration,UK / International,https://www.kobaltmusic.com,https://www.linkedin.com/company/kobalt-music-group/,Rights-tech-driven publisher/admin company; strong royalty/copyright fit.
1. Music publishers,Manners McDade,Music publisher / composer agency,UK / Europe,https://www.mannersmcdade.co.uk,https://www.linkedin.com/company/manners-mcdade/,Specialist composer agency/publisher; copyright and sync advisory fit.
1. Music publishers,Ninja Tune,Label / publisher-adjacent,UK / International,https://ninjatune.net,https://www.linkedin.com/company/ninja-tune/,Independent label with strong electronic/alternative catalogue.
1. Music publishers,peermusic,Music publisher,International / Europe,https://www.peermusic.com,https://www.linkedin.com/company/peermusic/,Established independent publisher with global catalogue.
1. Music publishers,PopArabia,Music publisher / rights company,UAE / MENA,https://poparabia.com,https://www.linkedin.com/company/poparabia/,Key MENA music rights company and publisher.
1. Music publishers,Reservoir Media,Music publisher / recorded music,US / UK / International,https://www.reservoir-media.com,https://www.linkedin.com/company/reservoir-media-management-inc-/,Active acquirer/operator of music rights catalogues.
1. Music publishers,ROBA Music Publishing,Music publisher,Germany / Europe,https://www.roba.com,https://www.linkedin.com/company/roba-music-publishing/,German independent publisher and rights administrator.
1. Music publishers,SABAM,CMO – authors/publishers,Belgium,https://www.sabam.be,https://www.linkedin.com/company/sabam,Belgian authors’ society; EU CMO and cross-border licensing relevance.
1. Music publishers,SACEM,CMO – authors/composers/publishers,France,https://www.sacem.fr,https://www.linkedin.com/company/sacem/ (needs verification),Core French music authors/publishers CMO; prime RightNote copyright and member-services prospect.
1. Music publishers,SAMRO,CMO – music authors/publishers,South Africa,https://www.samro.org.za,https://za.linkedin.com/company/samro,Southern African music rights organisation; key African CMO.
1. Music publishers,Schubert Music Publishing,Music publisher,Germany / Europe / International,https://schubertmusic.com,https://www.linkedin.com/company/schubert-music-publishing/,European independent publisher with multi-territory network.
1. Music publishers,Sentric Music,Music publisher / publishing administration,UK / Europe / International,https://sentricmusic.com,https://www.linkedin.com/company/sentric-music/,Publishing admin platform serving independent artists and catalogues.
1. Music publishers,SGAE,CMO – authors/publishers,Spain,https://www.sgae.es,https://www.linkedin.com/company/sgae/ (needs verification),Spanish authors/publishers society; major Iberian rights organization.
1. Music publishers,SIAE,CMO – authors/publishers,Italy,https://www.siae.it,https://www.linkedin.com/company/siae,Italian authors/publishers rights society; important EU CMO.
1. Music publishers,Songtrust,Publishing administration / royalty collection,US / International,https://www.songtrust.com,https://www.linkedin.com/company/songtrust,Global publishing administration and songwriter royalty collection platform.
1. Music publishers,Sony Music Publishing,Music publisher,International / UK / France / MENA,https://www.sonymusicpub.com,https://www.linkedin.com/company/sony-atv/,"Major global publishing catalogue; copyright, licensing and admin advisory fit."
1. Music publishers,SUISA,CMO – authors/publishers,Switzerland,https://www.suisa.ch,https://www.linkedin.com/company/48692931/,Swiss cooperative authors/publishers society; rights management and international collections.
1. Music publishers,TuneCore,Distributor / publishing admin,International / France / MENA reach,https://www.tunecore.com,https://www.linkedin.com/company/tunecore/,DIY distribution and publishing admin; creator rights education fit.
1. Music publishers,Universal Music Publishing Group,Music publisher,International / UK / France / MENA,https://www.umusicpub.com,https://www.linkedin.com/company/universal-music-publishing-group/,Major global publisher; high-value rights/copyright advisory prospect.
1. Music publishers,Wagram Music / Wagram Stories,Label / publisher / distributor,France / Europe,https://www.wagram-stories.com,https://www.linkedin.com/company/wagram-music/,French independent music group with label and publishing activity.
1. Music publishers,Warner Chappell Music,Music publisher,International / UK / France / MENA,https://www.warnerchappell.com,https://www.linkedin.com/company/warner-chappell-music/,Major music publisher with international rights operations.
1. Music publishers,Warp Publishing,Music publisher,UK / Europe,https://warppublishing.net,Needs verification,Indie/electronic-focused publisher; sync/copyright advisory relevance.
1. Music publishers,Wise Music Group,Music publisher,UK / Europe / International,https://www.wisemusicgroup.com,https://www.linkedin.com/company/wise-music-group/,"International publisher with classical, film and media catalogues."
2. Labels & distributors,[PIAS],Label services / distributor,Belgium / UK / France / Europe,https://www.pias.com,https://www.linkedin.com/company/pias/,Major European independent distributor and label-services group.
2. Labels & distributors,AIM – Association of Independent Music,Independent label trade body,United Kingdom,https://www.aim.org.uk,https://www.linkedin.com/company/association-of-independent-music/ (needs verification),UK independent labels trade body; access to indie label/publisher ecosystem.
2. Labels & distributors,Anghami,DSP / music-tech / rights-adjacent,Lebanon / UAE / MENA,https://www.anghami.com,Needs verification,Leading MENA streaming platform; licensing and royalties relevance.
2. Labels & distributors,AWAL,Label services / distributor,UK / International,https://www.awal.com,https://www.linkedin.com/company/awal/,Artist/label services platform relevant to digital rights and royalties.
2. Labels & distributors,Beggars Group,Label group,UK / Europe / International,https://beggars.com,https://www.linkedin.com/company/beggars-group/,Leading independent label group; rights/business affairs prospect.
2. Labels & distributors,Believe,Label services / distributor,France / Europe / MENA / International,https://www.believe.com,https://www.linkedin.com/company/believe/,France-headquartered global digital distributor and artist services company.
2. Labels & distributors,DistroKid,Distributor,International,https://distrokid.com,https://www.linkedin.com/company/distrokid/,Large DIY distribution platform with royalty/accounting relevance.
2. Labels & distributors,Ditto Music,DIY distribution / label services,UK / International,https://dittomusic.com,https://www.linkedin.com/company/ditto-music,Independent distributor and label-services provider for artists and labels.
2. Labels & distributors,Domino Recording Company,Label,UK / Europe / International,https://www.dominomusic.com,https://www.linkedin.com/company/domino-recording-co-ltd/,Influential independent label with international catalogues.
2. Labels & distributors,EmuBands,Digital distribution,UK,https://www.emubands.com,https://uk.linkedin.com/company/emubands-limited,"UK-based distributor for independent artists/labels, relevant for rights advisory outreach."
2. Labels & distributors,FUGA,B2B distributor tech / supply chain,Netherlands / International,https://fuga.com,https://www.linkedin.com/company/fugamusic,"B2B music distribution technology, royalty processing and DSP delivery for labels/distributors."
2. Labels & distributors,IDOL,Distributor / label services,France / Europe / International,https://www.idol.io,https://www.linkedin.com/company/idol/,French independent digital distributor and label-services platform.
2. Labels & distributors,IDOL,Digital distributor / label services,France / UK / International,https://idol.io,https://www.linkedin.com/company/independent-digital-online-distribution-idol,Independent distributor for labels with international rights/royalty operations. LinkedIn needs verification.
2. Labels & distributors,iMusician,DIY music distribution,Switzerland / Europe,https://imusician.pro,https://www.linkedin.com/company/2965519,European distribution and monetization platform for independent artists and labels.
2. Labels & distributors,Kontor New Media,Digital distribution / rights services,Germany,https://kontornewmedia.com,https://www.linkedin.com/company/kontor-new-media,"German distributor focused on digital exploitation, licensing and label services."
2. Labels & distributors,MDLBEAST,Label / music company / events ecosystem,Saudi Arabia / MENA,https://www.mdlbeast.com,Needs verification,"Fast-growing Saudi music company with label, events and regional industry role."
2. Labels & distributors,ONErpm,Distributor / label services,International / Europe,https://www.onerpm.com,Needs verification,Global digital distribution and artist services company.
2. Labels & distributors,Qanawat Digital,MENA digital distribution / content services,UAE / MENA,https://www.qanawatdigital.com,https://www.linkedin.com/company/qanawat-fz-llc,MENA digital content/distribution company with music/mobile/DSP relationships.
2. Labels & distributors,Qanawat Music,Distributor / digital music services,UAE / MENA,https://www.qanawat.com,Needs verification,MENA-focused digital music and content distribution company.
2. Labels & distributors,Rotana Music,Label / media group,Saudi Arabia / MENA,https://rotanamusic.com,Needs verification,Major Arabic music label/catalogue owner; strong MENA target.
2. Labels & distributors,Secretly Group,Label group / distribution,US / UK / Europe,https://www.secretlygroup.com,Needs verification,Indie label/distribution group with international operations.
2. Labels & distributors,SonoSuite,White-label distribution technology,Spain / International,https://sonosuite.com,https://www.linkedin.com/company/sonosuite,SaaS platform enabling companies to operate their own music distribution businesses.
2. Labels & distributors,Sony Music Entertainment,Label / distributor,International / UK / France / MENA,https://www.sonymusic.com,Needs verification,"Major label group; rights, licensing and business affairs target."
2. Labels & distributors,The Orchard,Distributor / label services,International / Europe / MENA,https://www.theorchard.com,https://www.linkedin.com/company/the-orchard/,Global distribution and label-services company.
2. Labels & distributors,Universal Music Group,Label / distributor,International / UK / France / MENA,https://www.universalmusic.com,Needs verification,Major label group with global recorded-music rights operations.
2. Labels & distributors,Warner Music Group,Label / distributor,International / UK / France / MENA,https://www.wmg.com,Needs verification,Major label group with international recorded-music operations.
2. Labels & distributors,Zebralution,Digital distribution / label services,Germany / Europe,https://zebralution.com,https://www.linkedin.com/company/zebralution-gmbh,European distributor and music-services company with rights and catalog operations.
3. CMOs / copyright institutions,ADAMI,CMO / performers’ rights,France,https://www.adami.fr,https://www.linkedin.com/company/adami/,French performers’ neighbouring-rights society; relevant for rights administration and advisory.
3. CMOs / copyright institutions,AFRIMA – All Africa Music Awards,Cultural/music industry institution,Africa / Nigeria,https://afrima.org,https://www.linkedin.com/company/afrima/ (needs verification),Pan-African music institution with broad industry network; outreach/partnership channel.
3. CMOs / copyright institutions,BMDAV – Bureau Marocain des Droits d’Auteur et Droits Voisins,CMO / public copyright office,Morocco,https://bmdav.ma/,LinkedIn company URL needs verification,Moroccan copyright and neighbouring-rights bureau; priority North Africa/MENA institutional prospect.
3. CMOs / copyright institutions,BPI,Recording industry trade body,United Kingdom,https://www.bpi.co.uk,https://www.linkedin.com/company/britishphonographicindustry/,"UK recorded-music trade association; policy, market data and label network."
3. CMOs / copyright institutions,BumaStemra,CMO – performing/mechanical rights,Netherlands,https://bumastemra.nl,https://www.linkedin.com/company/bumastemra/,Dutch music copyright society; online licensing and publisher royalty relevance.
3. CMOs / copyright institutions,CAPASSO,CMO – mechanical rights,South Africa,https://www.capasso.co.za,https://www.linkedin.com/company/capasso/ (needs verification),South African mechanical-rights licensing agency; highly relevant to publishing royalties.
3. CMOs / copyright institutions,Centre national de la musique (CNM),Cultural/music industry institution,France,https://cnm.fr,https://www.linkedin.com/company/centrenationaldelamusique,"French public music-sector body; ecosystem funding, export and professional programs."
3. CMOs / copyright institutions,CISAC,International CMO confederation,International / Paris,https://www.cisac.org,https://www.linkedin.com/company/cisac/,Global confederation of authors’ societies; high-value institutional prospect.
3. CMOs / copyright institutions,COSON,CMO – musical works,Nigeria,https://www.cosonng.com,https://www.linkedin.com/in/coson-nigeria-44798a55/ (profile; company page needs verification),Nigerian copyright society for musical works; important West African rights contact.
3. CMOs / copyright institutions,EMRA – Emirates Music Rights Association,CMO / music rights association,United Arab Emirates / MENA,https://www.emraorg.ae/,https://www.linkedin.com/company/emirates-arts-and-music-rights-association/,First UAE music rights association/collective society initiative; high-priority emerging MENA rights market.
3. CMOs / copyright institutions,IFPI,Recording industry federation,International / London,https://www.ifpi.org,https://www.linkedin.com/company/ifpi/ (needs verification),Global recorded-music industry federation; copyright enforcement and label policy nexus.
3. CMOs / copyright institutions,IMPALA,Independent music companies association,Europe,https://impalamusic.org,https://be.linkedin.com/company/impalamusic,European independent music companies association; strong EU label/trade prospect.
3. CMOs / copyright institutions,MCPS,CMO – mechanical rights,United Kingdom,https://www.prsformusic.com/what-we-do/prs-and-mcps,https://www.linkedin.com/company/prs-for-music,UK mechanical-rights society administered with PRS; relevant to publishing royalty workflows.
3. CMOs / copyright institutions,ONDA – Office National des Droits d’Auteur et Droits Voisins,CMO / public copyright office,Algeria,http://www.onda.dz,https://www.linkedin.com/company/onda-office-national-des-droits-d-auteur-et-droits-voisins/ (needs verification),Algerian copyright and neighbouring-rights office; MENA/North Africa priority.
3. CMOs / copyright institutions,PPL,CMO – neighbouring rights,United Kingdom,https://www.ppluk.com,https://www.linkedin.com/company/ppl/ (needs verification),UK performer and recording rightsholder neighbouring-rights licensing/distribution body.
3. CMOs / copyright institutions,PRS for Music,CMO – performing rights,United Kingdom,https://www.prsformusic.com,https://www.linkedin.com/company/prs-for-music,UK songwriter/composer/publisher performing-rights society; major copyright stakeholder.
3. CMOs / copyright institutions,SAMPRA,CMO – neighbouring rights,South Africa,https://sampra.org.za,https://www.linkedin.com/company/sampra/ (needs verification),South African performers/record companies neighbouring-rights society.
3. CMOs / copyright institutions,SCPP,CMO / neighbouring rights producers,France,https://www.scpp.fr,https://www.linkedin.com/company/scpp-soci%C3%A9t%C3%A9-civile-des-producteurs-phonographiques/ (needs verification),Major French phonogram producer CMO; label/producers rights data and royalties.
3. CMOs / copyright institutions,SNEP,Recording industry trade body,France,https://snepmusique.com,https://fr.linkedin.com/company/snep,French recorded-music trade association; label and market-rights policy gateway.
3. CMOs / copyright institutions,Soundreef,Independent CMO / rights management,Italy / UK / Europe,https://www.soundreef.com,https://www.linkedin.com/company/soundreef,Independent rights-management/collection company for authors and publishers.
3. CMOs / copyright institutions,SPEDIDAM,CMO / performers’ rights,France,https://www.spedidam.fr,https://www.linkedin.com/company/10186108,French performers’ rights CMO with distribution and licensing focus.
3. CMOs / copyright institutions,SPPF,CMO / independent producers,France,https://www.sppf.com,https://www.linkedin.com/company/sppf/ (needs verification),French independent phonogram producers’ rights society; strong fit for neighbouring-rights outreach.
3. CMOs / copyright institutions,UNESCO Creative Economy / Culture Sector,Cultural institution,International,https://www.unesco.org/en/creativity,https://www.linkedin.com/company/unesco/ (needs verification),"International cultural policy body; relevant for copyright, creative economy and institution partnerships."
3. CMOs / copyright institutions,Unison Rights,Independent rights management / CMO,Spain / Europe,https://www.unisonrights.es,https://www.linkedin.com/company/unisonrights,Independent management entity for music rights with pan-European copyright operations.
4. Music-tech / royalty-tech,AMRA,Digital collection society / rights management,Sweden / International; Kobalt group,https://www.amra.com,https://www.linkedin.com/company/amra-music,Global digital mechanical/performance rights collection platform. LinkedIn needs verification.
4. Music-tech / royalty-tech,Artlist,Music licensing / creator marketplace,Israel / International,https://artlist.io,https://www.linkedin.com/company/artlist-ltd,Creator-focused music/SFX/video licensing subscription business. LinkedIn needs verification.
4. Music-tech / royalty-tech,Audoo,Music recognition / public-performance royalties,UK,https://audoo.com,https://www.linkedin.com/company/audoo,Audio-metering technology for more accurate public-performance royalty reporting.
4. Music-tech / royalty-tech,Beatdapp,Streaming fraud detection / audit analytics,Canada / International,https://www.beatdapp.com,https://linkedin.com/company/beatdapp,"Streaming fraud detection and audit tooling for labels, distributors and DSPs."
4. Music-tech / royalty-tech,BIEM,International mechanical-rights bureau,International / Europe,https://www.biem.org,https://www.linkedin.com/company/biem/ (needs verification),International organisation for mechanical-rights societies; relevant to publishing royalties.
4. Music-tech / royalty-tech,Blokur,Music rights data / licensing,UK,https://www.blokur.com,https://www.linkedin.com/company/blokur,Music rights data company focused on resolving licensing and royalty conflicts. LinkedIn needs verification.
4. Music-tech / royalty-tech,BMAT,Music monitoring / rights data,Spain / International,https://www.bmat.com,https://www.linkedin.com/company/bmat,"Audio fingerprinting, music usage reporting and rights-data services for CMOs, publishers and broadcasters."
4. Music-tech / royalty-tech,Bridger,Royalty-tech / rights management,France,https://www.bridgermusic.io,https://www.linkedin.com/company/bridgermusic,"Royalty calculation and rights-administration platform aimed at publishers, labels and collective-management workflows."
4. Music-tech / royalty-tech,ClicknClear,Sports music licensing / rights clearance,UK,https://www.clicknclear.com,https://www.linkedin.com/company/clicknclear,Licensing/clearance platform focused on sports and performance music use cases. LinkedIn needs verification.
4. Music-tech / royalty-tech,Curve Royalty Systems,Royalty accounting software,UK,https://www.curveroyaltysystems.com,https://www.linkedin.com/company/curve-royalty-systems,"Royalty accounting platform for labels, publishers and distributors; direct rights-tech fit."
4. Music-tech / royalty-tech,Cyanite,AI music tagging / discovery metadata,Germany,https://cyanite.ai,https://www.linkedin.com/company/cyanite-ai,"AI-based music tagging, similarity search and metadata enrichment for catalogs."
4. Music-tech / royalty-tech,DISCO,Music catalog / pitching / sync workflow,Australia / UK / US,https://www.disco.ac,https://www.linkedin.com/company/disco-ac,"Music asset management and pitching platform used by labels, publishers and supervisors."
4. Music-tech / royalty-tech,Epidemic Sound,Production music / direct licensing,Sweden / International,https://www.epidemicsound.com,https://www.linkedin.com/company/epidemic-sound,"Direct-licensing music company for creators, brands and platforms; relevant licensing model prospect."
4. Music-tech / royalty-tech,ICE Services,Multi-territory licensing / rights services,UK/EU,https://www.iceservices.com,https://www.linkedin.com/company/10350980/,Rights hub for online licensing and processing for major European CMOs.
4. Music-tech / royalty-tech,LyricFind,Lyric licensing / data,Canada / International,https://www.lyricfind.com,https://www.linkedin.com/company/lyricfind-inc.,Licensed lyric data and royalty administration partner for publishers and platforms.
4. Music-tech / royalty-tech,MatchTune,AI music licensing / adaptive music,France / US,https://www.matchtune.com,https://www.linkedin.com/company/matchtune,Licensing and adaptive-music tech for video creators and brands; relevant for sync/licensing outreach.
4. Music-tech / royalty-tech,Midem,Music industry market/conference,International / France,https://midem.com,https://www.linkedin.com/company/midem-official/,International music business event/institution; useful for rights and industry-development outreach.
4. Music-tech / royalty-tech,Music Story,Music metadata / enrichment,France,https://music-story.com/en,https://www.linkedin.com/company/music-story,"French music metadata provider offering artist/album/track identifiers, editorial and data enrichment."
4. Music-tech / royalty-tech,Musixmatch,Lyrics / music metadata licensing,Italy / International,https://www.musixmatch.com,https://www.linkedin.com/company/musixmatch,Global lyrics and music-data platform licensing content to DSPs and apps. LinkedIn needs verification.
4. Music-tech / royalty-tech,Muso.AI,Music credits / metadata,US / International,https://muso.ai,https://www.linkedin.com/company/muso-ai,Credits and metadata platform used by creators and music businesses; LinkedIn needs verification.
4. Music-tech / royalty-tech,Orfium,Rights management / monetization / UGC,UK / Greece / US,https://www.orfium.com,https://www.linkedin.com/company/orfium,"Rights-management, UGC monetization and neighboring-rights style services for music/media clients."
4. Music-tech / royalty-tech,Pex,Content ID / attribution / licensing infrastructure,US / International,https://pex.com,https://www.linkedin.com/company/pexeso,"Attribution, content identification and licensing infrastructure for platforms and rightsholders."
4. Music-tech / royalty-tech,Reprtoir,Catalog / rights / royalty management SaaS,France,https://www.reprtoir.com,https://www.linkedin.com/company/reprtoir,"French SaaS for catalog, rights, metadata and royalty workflow management."
4. Music-tech / royalty-tech,Revelator,Royalty accounting / web3 rights platform,Israel / International,https://revelator.com,https://www.linkedin.com/company/revelator-enterprises,"Rights, royalty accounting and digital supply-chain platform for labels and distributors."
4. Music-tech / royalty-tech,Rightsline,Rights & royalties software,US / International,https://www.rightsline.com,https://www.linkedin.com/company/rightsline,Enterprise rights and royalties management platform for media/music licensing operations.
4. Music-tech / royalty-tech,Soundcharts,Music analytics / market intelligence,France / International,https://soundcharts.com,https://www.linkedin.com/company/soundcharts,"French-founded analytics platform tracking streaming, radio, charts and social data for labels/publishers."
4. Music-tech / royalty-tech,Soundmouse,Music recognition / cue sheets / reporting,UK / International,https://www.soundmouse.com,https://www.linkedin.com/company/soundmouse,"Broadcast monitoring, cue-sheet and usage-reporting technology for rightsholders and CMOs. LinkedIn needs verification."
4. Music-tech / royalty-tech,SourceAudio,Production music marketplace / licensing tech,US / International,https://www.sourceaudio.com,http://www.linkedin.com/company/sourceaudio.com,"Production-music hosting, search, watermarking and licensing platform."
4. Music-tech / royalty-tech,SyncFloor,Sync licensing marketplace / search,US / International,https://www.syncfloor.com,https://www.linkedin.com/company/syncfloor,Sync discovery and licensing platform for commercial music catalogs. LinkedIn needs verification.
4. Music-tech / royalty-tech,Synchtank,Rights/royalty software / licensing ops,UK / US,https://www.synchtank.com,https://www.linkedin.com/company/synchtank,"B2B software for catalog management, licensing, royalty accounting and asset workflows."
4. Music-tech / royalty-tech,UK Music,Music industry umbrella body,United Kingdom,https://www.ukmusic.org,https://www.linkedin.com/company/uk-music/ (needs verification),Cross-sector UK industry institution; useful for copyright-policy and partnership outreach.
4. Music-tech / royalty-tech,Verifi Media,Rights data / metadata collaboration,US / International,https://www.verifi.media,https://www.linkedin.com/company/verifi-media,Rights-data collaboration platform for authoritative music ownership and metadata. LinkedIn needs verification.
4. Music-tech / royalty-tech,Viberate,Music analytics / talent intelligence,Slovenia / Europe,https://www.viberate.com,https://www.linkedin.com/company/viberate,"European analytics platform for artists, labels, festivals and A&R."
4. Music-tech / royalty-tech,WIN – Worldwide Independent Network,Independent music network,International,https://winformusic.org,https://www.linkedin.com/company/winformusic,Global network for independent music trade associations; partner channel for outreach.
